key;equipmentKey;fault;name;photo;recommandation
-LHXpVkqJnLHUwM8xhFw;-LHXpVhbW3UXEXbfCS9b;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVkqJnLHUwM8xhFw%2F011832_Photo%2003-05-2018%2012.13.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVkqJnLHUwM8xhFx;-LHXpVhZXZPDQKacyfGA;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkr2WiFGxEO3Ilj;-LHXpVhWqQ3oBvMHKM3v;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkr2WiFGxEO3Ilk;-LHXpVhTdNci5IgqRVK7;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkr2WiFGxEO3Ill;-LHXpVhQIdHBXUcOGDkX;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVksFWj45kRY56J2;-LHXpVhNEsNov1Sz4mcz;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVksFWj45kRY56J3;-LHXpVhJ_BRIGkPZOtJu;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVksFWj45kRY56J4;-LHXpVhFhu2T-LIIodhj;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVktZ-ZkCMB_uEb0;-LHXpVhCx9ZRmMZPM37Z;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVktZ-ZkCMB_uEb1;-LHXpVhAq4nHIjic2T-X;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVktZ-ZkCMB_uEb2;-LHXpVh7IUBx6ITanjU1;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVktZ-ZkCMB_uEb3;-LHXpVh4XmE8NCKrKsdL;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVktZ-ZkCMB_uEb4;-LHXpVh1QjPFdlau4JlI;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVku5u8YFwt8UkQG;-LHXpVgkazBWOir8Cu6T;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xme;-LHXpVgfwd7dPLO16XbZ;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xmf;-LHXpVgcrAVzkCId6dY8;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xmg;-LHXpVgazp99MYC7I0G2;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xmh;-LHXpVgYpeSohsKOTeAu;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xmi;-LHXpVgWdAdVsDOpHCko;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkvMGwuJ8ew8Xmj;-LHXpVgTRpahNMbkSCB0;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJR;-LHXpVgS6iIbXUJzr11N;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJS;-LHXpVgMLtfrIObMxjmM;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJT;-LHXpVgK1uT9Cn3zKQeW;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJU;-LHXpVgFN1WCf_l8nsgg;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJV;-LHXpVgCobOu54xld_fA;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkwNpIhGVnEaSJW;-LHXpVgBt3QZOkoq_6VA;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAK;-LHXpVg9z_kOzpTih7fb;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAL;-LHXpVg6v2J9F6C6Qf3Q;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAM;-LHXpVfxOjQMM5X0wrLT;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAN;-LHXpVfwBjRh2jsIQlk7;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAO;-LHXpVflc-dgLpOHjPdW;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVkxLHnL81PBsgAP;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence de risque pour accéder et maintenir l'équipement (et ses organes de coupure le cas échéant);;
-LHXpVm7DV8z87VjNAHh;-LHXpVhWqQ3oBvMHKM3v;;Contrôler l'absence de défaut et/ou alarme;;
-LHXpVm7DV8z87VjNAHi;-LHXpVhCx9ZRmMZPM37Z;;Contrôler l'absence de défaut et/ou alarme;;
-LHXpVm7DV8z87VjNAHj;-LHXpVh4XmE8NCKrKsdL;;Contrôler l'absence de défaut et/ou alarme;;
-LHXpVm7DV8z87VjNAHk;-LHXpVfxOjQMM5X0wrLT;;Contrôler l'absence de défaut et/ou alarme;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVm7DV8z87VjNAHk%2F011796_Photo%2003-05-2018%2008.38.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVm7DV8z87VjNAHl;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence de défaut et/ou alarme;;
-LHXpVmIzAEKsbJTbwdP;-LHXpVhxHwD48X0vbdzV;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdQ;-LHXpVhuZgzt8F6bIQf6;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdR;-LHXpVht_zEwZ3L0NCX2;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdS;-LHXpVhpTDaHaYChPs5G;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdT;-LHXpVhob-Hm3V1VOE1B;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdU;-LHXpVhmqap8Maj7E7Ph;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdV;-LHXpVhkSoo6-UjfcLDv;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdW;-LHXpVhZXZPDQKacyfGA;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmIzAEKsbJTbwdX;-LHXpVhWqQ3oBvMHKM3v;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEm;-LHXpVhQIdHBXUcOGDkX;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEn;-LHXpVhJ_BRIGkPZOtJu;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEo;-LHXpVhFhu2T-LIIodhj;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEp;-LHXpVhCx9ZRmMZPM37Z;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEq;-LHXpVhAq4nHIjic2T-X;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEr;-LHXpVh7IUBx6ITanjU1;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEs;-LHXpVh4XmE8NCKrKsdL;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEt;-LHXpVh1QjPFdlau4JlI;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmMe1FYT7LHqbEu;-LHXpVgrquB1kJbEshQ3;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFS;-LHXpVgkazBWOir8Cu6T;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFT;-LHXpVgfwd7dPLO16XbZ;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFU;-LHXpVgcrAVzkCId6dY8;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFV;-LHXpVgazp99MYC7I0G2;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFW;-LHXpVgYpeSohsKOTeAu;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFX;-LHXpVgWdAdVsDOpHCko;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFY;-LHXpVgTRpahNMbkSCB0;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFZ;-LHXpVgS6iIbXUJzr11N;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgF_;-LHXpVgMLtfrIObMxjmM;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFa;-LHXpVgK1uT9Cn3zKQeW;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFb;-LHXpVgCobOu54xld_fA;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFc;-LHXpVgBt3QZOkoq_6VA;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFd;-LHXpVg9z_kOzpTih7fb;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFe;-LHXpVg6v2J9F6C6Qf3Q;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFf;-LHXpVfxOjQMM5X0wrLT;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFg;-LHXpVfwBjRh2jsIQlk7;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmNEHiffZWgXgFh;-LHXpVflc-dgLpOHjPdW;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmORaGCkUZ6P-gL;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence d'odeur, de vibration ou de bruit anormal;;
-LHXpVmV5Vp7UQzxqCIC;-LHXpVhob-Hm3V1VOE1B;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmV5Vp7UQzxqCID;-LHXpVhmqap8Maj7E7Ph;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmV5Vp7UQzxqCIE;-LHXpVhbW3UXEXbfCS9b;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmV5Vp7UQzxqCIE%2F011832_Photo%2003-05-2018%2012.16.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmV5Vp7UQzxqCIF;-LHXpVgkazBWOir8Cu6T;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmV5Vp7UQzxqCIG;-LHXpVgS6iIbXUJzr11N;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmV5Vp7UQzxqCIH;-LHXpVgK1uT9Cn3zKQeW;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmV5Vp7UQzxqCII;-LHXpVgFN1WCf_l8nsgg;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmWiLKDeTsC1-rH;-LHXpVgBt3QZOkoq_6VA;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmWiLKDeTsC1-rI;-LHXpVg9z_kOzpTih7fb;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmWiLKDeTsC1-rJ;-LHXpVfxOjQMM5X0wrLT;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmWiLKDeTsC1-rJ%2F011796_Photo%2003-05-2018%2008.38.06.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmWiLKDeTsC1-rK;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence de fuite, trace de fuite, corrosion ou oxydation;;
-LHXpVmWiLKDeTsC1-rL;-LHXpVhbW3UXEXbfCS9b;;Contrôler l'absence de risque de brûlure et de point chaud sur l'équipement;;
-LHXpVmWiLKDeTsC1-rM;-LHXpVgFN1WCf_l8nsgg;;Contrôler l'absence de risque de brûlure et de point chaud sur l'équipement;;
-LHXpVmWiLKDeTsC1-rN;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence de risque de brûlure et de point chaud sur l'équipement;;
-LHXpVmWiLKDeTsC1-rO;-LHXpVhxHwD48X0vbdzV;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rP;-LHXpVhuZgzt8F6bIQf6;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rQ;-LHXpVhpTDaHaYChPs5G;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rR;-LHXpVhkSoo6-UjfcLDv;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rS;-LHXpVhTdNci5IgqRVK7;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rT;-LHXpVhQIdHBXUcOGDkX;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rU;-LHXpVhJ_BRIGkPZOtJu;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rV;-LHXpVhFhu2T-LIIodhj;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rW;-LHXpVgcrAVzkCId6dY8;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rX;-LHXpVgazp99MYC7I0G2;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rY;-LHXpVgYpeSohsKOTeAu;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rZ;-LHXpVgWdAdVsDOpHCko;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-r_;-LHXpVgTRpahNMbkSCB0;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-ra;-LHXpVgMLtfrIObMxjmM;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rb;-LHXpVgCobOu54xld_fA;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rc;-LHXpVg6v2J9F6C6Qf3Q;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rd;-LHXpVfxOjQMM5X0wrLT;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-re;-LHXpVflc-dgLpOHjPdW;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmWiLKDeTsC1-rf;-LHXpVfII4J53rgKtuAi;;Contrôler l'absence d'échauffement du câble d'alimentation électrique ;;
-LHXpVmY3d3ad9BBIsyR;-LHXpVfII4J53rgKtuAi;;Mesurer l'espace libre entre les chaudières (minimum 0,5 m);;
-LHXpVmY3d3ad9BBIsyS;-LHXpVg9z_kOzpTih7fa;;Contrôler l'état de l'alimentation en gaz;;
-LHXpVmY3d3ad9BBIsyT;-LHXpVg5qOKxtZRgDb8t;;Contrôler l'état de l'alimentation en gaz;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmY3d3ad9BBIsyT%2F011797_Photo%2003-05-2018%2008.44.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmY3d3ad9BBIsyU;-LHXpVfII4J53rgKtuAi;;Contrôler l'état de l'alimentation en gaz;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmY3d3ad9BBIsyU%2F011793_Photo%2003-05-2018%2009.01.55.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmfIa1yetH-ZLoI;-LHXpVhpTDaHaYChPs5G;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmfIa1yetH-ZLoI%2F011836_Photo%2003-05-2018%2012.30.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZN4;-LHXpVgkazBWOir8Cu6T;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);;
-LHXpVmgY5kX9sKzDZN5;-LHXpVgYpeSohsKOTeAu;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZN5%2F011810_Photo%2003-05-2018%2009.28.53.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZN6;-LHXpVgWdAdVsDOpHCko;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZN6%2F011809_Photo%2003-05-2018%2009.25.56.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZN7;-LHXpVgMLtfrIObMxjmM;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZN7%2F011806_Photo%2003-05-2018%2009.12.54.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZN8;-LHXpVgFN1WCf_l8nsgg;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZN8%2F011804_Photo%2003-05-2018%2009.07.24.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZN9;-LHXpVfII4J53rgKtuAi;;Contrôler la présence et l'état des instruments de métrologie (thermomètres, manomètres,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZN9%2F011793_Photo%2003-05-2018%2009.02.06.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmgY5kX9sKzDZNA;-LHXpVfII4J53rgKtuAi;;Contrôler la présence et l'état de la veilleuse;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmgY5kX9sKzDZNA%2F011793_Photo%2003-05-2018%2010.56.10.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVmhRbC14oQ08pxR;-LHXpVhuZgzt8F6bIQf6;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxS;-LHXpVhpTDaHaYChPs5G;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxT;-LHXpVhkSoo6-UjfcLDv;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxU;-LHXpVhQIdHBXUcOGDkX;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxV;-LHXpVgazp99MYC7I0G2;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxW;-LHXpVgYpeSohsKOTeAu;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxX;-LHXpVgWdAdVsDOpHCko;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxY;-LHXpVgTRpahNMbkSCB0;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxZ;-LHXpVgMLtfrIObMxjmM;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08px_;-LHXpVgCobOu54xld_fA;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxa;-LHXpVg6v2J9F6C6Qf3Q;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmhRbC14oQ08pxb;-LHXpVfII4J53rgKtuAi;;Contrôler la présence et l'état des joints (dilatation, étanchéité, etc.);;
-LHXpVmi2EiadU-I2Qai;-LHXpVfII4J53rgKtuAi;;Contrôler l'état général du brûleur (propreté, vétusté, aspect, impacts, etc.);;
-LHXpVmi2EiadU-I2Qaj;-LHXpVgkazBWOir8Cu6T;;Contrôler la présence et l'état du calorifuge de l'équipement et ses composants;;
-LHXpVmi2EiadU-I2Qak;-LHXpVgFN1WCf_l8nsgg;;Contrôler la présence et l'état du calorifuge de l'équipement et ses composants;;
-LHXpVmi2EiadU-I2Qal;-LHXpVfII4J53rgKtuAi;;Contrôler la présence, l'état et le positionnement des sondes (thermostat, pression,...);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVmi2EiadU-I2Qal%2F011793_Photo%2003-05-2018%2010.57.33.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVo-4J7p81DUZSGr;-LHXpVi174vuvwhEHXYb;;Contrôler l'état général de l'installation (propreté, vétusté, aspect, impacts, etc.);;
-LHXpVo-4J7p81DUZSGs;-LHXpVhzRWR4y5yfgQqo;;Contrôler l'état général de l'installation (propreté, vétusté, aspect, impacts, etc.);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVo-4J7p81DUZSGs%2F011841_Photo%2003-05-2018%2012.50.55.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
-LHXpVo1o5nk3CRNmZHk;-LHXpVhmqap8Maj7E7Ph;;Contrôler l'état général de l'installation (propreté, vétusté, aspect, impacts, etc.);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Checkpoints%2F-LHXpVo1o5nk3CRNmZHk%2F011834_Photo%2003-05-2018%2012.22.43.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;
