key;brand;building;domain;local;model;name;nbFaults;niveau;notes;photo;quantity;serialNumber;status
-LHXpVgFN1WCf_l8nsgf;;Batiment Test;BATIMENT;;;Autre DOE;0;RDC;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgFN1WCf_l8nsgf%2F011803_Photo%2003-05-2018%2009.04.02.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVgFN1WCf_l8nsgg;Magnum GS;Batiment Test;CVC;Chaufferie;RUBIS 2242 D;Échangeur à plaques;2;R-1;"Absence de programme anti légionelle
consigne jour et nuit 55°C
Alarme basse à 50°C
Alarme haute à 60°C
Programme C2 de 22 h à 6h (idem que C1)";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgFN1WCf_l8nsgg%2F011804_Photo%2003-05-2018%2009.05.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;122377;En marche
-LHXpVgK1uT9Cn3zKQeW;EMEC;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Pump KPVM 1802 FP;Pompe doseuse Réseau ECS;0;R-1;"Pompe à débit constant/proportionnel commandée par signal numérique, avec contrôle de niveau et réglable par entrée d’impulsions - diviseur (1÷100) et multiplicateur (1÷10). 2 l/h
Produit utilisé : PEP 04 (produit anti corrosion pour réseau d'eaux chaudes";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgK1uT9Cn3zKQeW%2F011805_Photo%2003-05-2018%2009.08.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;13081000100000004;En marche
-LHXpVgMLtfrIObMxjmM;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS D40-60F;Pompe Secondaire ECS;3;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgMLtfrIObMxjmM%2F011806_Photo%2003-05-2018%2009.11.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;96408907;En marche
-LHXpVgS6iIbXUJzr11N;Sappel;Batiment Test;COMPTAGE;Chaufferie;WS 65;Compteur eau de ville Général;4;R-1;"Qn 25 m3/h ; 6 bars
Il est conseillé d'étalonner tous les 15 ans les compteurs eau de ville";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgS6iIbXUJzr11N%2F011807_Photo%2003-05-2018%2009.16.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;2301939;En marche
-LHXpVgTRpahNMbkSCB0;Grundfoss;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;UPS 50/120 F;Pompe Primaire Échangeur ECS;5;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgTRpahNMbkSCB0%2F011808_Photo%2003-05-2018%2009.20.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;96402101;En marche
-LHXpVgWdAdVsDOpHCko;Grundfos;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;TP 32-90/2;Pompe Bouclage ECS bat C/D/E/F;5;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgWdAdVsDOpHCko%2F011809_Photo%2003-05-2018%2009.23.55.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;A96408466;En marche
-LHXpVgYpeSohsKOTeAu;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;NEC-2-T-25;Pompe Bouclage ECS bat A/B;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgYpeSohsKOTeAu%2F011810_Photo%2003-05-2018%2009.27.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2; 015/00031;En marche
-LHXpVgazp99MYC7I0G2;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;GV28M;Pompe de relevage;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgazp99MYC7I0G2%2F011811_Photo%2003-05-2018%2009.30.22.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;30922521J;En marche
-LHXpVgcrAVzkCId6dY8;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;NRG 106-2/C;Pompe Distribution EC;11;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgcrAVzkCId6dY8%2F011812_Photo%2003-05-2018%2009.33.20.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;015 65740;En marche
-LHXpVgfwd7dPLO16XbZ;Rendamax;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;KKM8;Régulateur Chaudière;5;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgfwd7dPLO16XbZ%2F011813_Photo%2003-05-2018%2011.01.34.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVgkazBWOir8Cu6T;Magnum GS;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;ATE 1000;Ballon de stockage ECS;9;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgkazBWOir8Cu6T%2F011814_Photo%2003-05-2018%2010.35.50.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVgq7JZ4eioP6pDm;Oldham;Batiment Test;CVC;Chaufferie;SV4B;Détecteur gaz ;1;R-1;"Réglage du zéro ainsi que de la sensibilité au gaz étalon 2,5% LIE CH4 
Seuils d’alarme : AL1= 25% AL2= 50%
Prévoir le remplacement des 4 cellules";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgq7JZ4eioP6pDm%2F011815_Photo%2003-05-2018%2011.01.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVgrquB1kJbEshQ3;;Batiment Test;BATIMENT;Chaufferie;;Local chaufferie;8;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVgrquB1kJbEshQ3%2F011816_Photo%2003-05-2018%2010.30.15.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh1QjPFdlau4JlI;Pneumatex;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;Vento V 6.1 E;Compensateur de dilatation;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh1QjPFdlau4JlI%2F011817_Photo%2003-05-2018%2010.24.29.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;812 1001;En marche
-LHXpVh2xYiaxov-K5MY;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;SKC 62-31;Servomoteur Réseau chaud;0;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh2xYiaxov-K5MY%2F011818_Photo%2003-05-2018%2010.27.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh3Z9dBETXscxsk;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;;Distribution hydraulique  Chaufferie;1;R-1;Bouteille casse pression;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh3Z9dBETXscxsk%2F011819_Photo%2003-05-2018%2010.29.26.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVh4XmE8NCKrKsdL;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;RVL 470;Automate Réseau chaud;5;R-1;"Programme :
Lundi à Dimanche de 5h à 22h30
Loi de régulation : Text 15°C -> Tc 30°C, Text -5°C -> Tc 70°C
Contrôler le réduit de nuit";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh4XmE8NCKrKsdL%2F011820_Photo%2003-05-2018%2011.06.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signatur;1;;En marche
-LHXpVh7IUBx6ITanjU1;Legrand;Batiment Test;ELECTRICITE COURANTS FAIBLES;Chaufferie;Marina;Armoire automate;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVh7IUBx6ITanjU1%2F011821_Photo%2003-05-2018%2011.09.47.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhAq4nHIjic2T-X;Socla;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie; EA 453;Clapet Réseau EF;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhAq4nHIjic2T-X%2F011822_Photo%2003-05-2018%2011.13.59.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhCx9ZRmMZPM37Y;Watts;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;ACV - CL 125;Détendeur;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhCx9ZRmMZPM37Y%2F011823_Photo%2003-05-2018%2011.14.28.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1; 9206-619;En marche
-LHXpVhCx9ZRmMZPM37Z;NUGELEC;Batiment Test;INCENDIE ET SECURITE;LT;Type 1 NFS 61-950;Centrale détection incendie;3;R-1;4 détecteurs de fumée;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhCx9ZRmMZPM37Z%2F011824_Photo%2003-05-2018%2011.20.31.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhFhu2T-LIIodhj;;Batiment Test;ELECTRICITE COURANTS FORTS;LT;;Armoire électrique;14;R-1;Aucun contrôle réglementaire effectué sur l'équipement, présence de multiples défauts de sécurité et conformité (absence d'un arrêt d'urgence, etc.);https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhFhu2T-LIIodhj%2F011825_Photo%2003-05-2018%2011.22.46.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhJ_BRIGkPZOtJu;SAFT URA;Batiment Test;ELECTRICITE COURANTS FORTS;Chaufferie;T 92651;BAES;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhJ_BRIGkPZOtJu%2F011826_Photo%2003-05-2018%2011.31.56.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;3;956418;En marche
-LHXpVhNEsNov1Sz4mcz;Isogard;Batiment Test;INCENDIE ET SECURITE;Chaufferie; Poudre ABC;Extincteur à poudre;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhNEsNov1Sz4mcz%2F011827_Photo%2003-05-2018%2011.33.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhQIdHBXUcOGDkX;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;Chaufferie;DCX 80-50;Pompe Distribution;6;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhQIdHBXUcOGDkX%2F011828_Photo%2003-05-2018%2011.34.43.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhTdNci5IgqRVK7;;Batiment Test;ELECTRICITE COURANTS FORTS;S/station;;Armoire électrique S/station;19;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhTdNci5IgqRVK7%2F011829_Photo%2003-05-2018%2011.58.37.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhWqQ3oBvMHKM3v;Siemens;Batiment Test;ELECTRICITE COURANTS FAIBLES;S/station;RVL 480;Automate Réseau chaud bâtiment G;8;R-1;"Programme :
Lundi à Dimanche de 5h à 23h00
Loi de régulation : Text 15°C -> Tc 30°C, Text -5°C -> Tc 70°C
Contrôler le réduit de nuit";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhWqQ3oBvMHKM3v%2F011830_Photo%2003-05-2018%2012.06.39.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhZXZPDQKacyfGA;;Batiment Test;BATIMENT;S/station;;Local technique S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhZXZPDQKacyfGA%2F011831_Photo%2003-05-2018%2012.09.28.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;Fonctionnel
-LHXpVhbW3UXEXbfCS9b;Magnum GS;Batiment Test;CVC;S/station;RU 126 D;Échangeur à plaques S/station;11;R-1;"10h10 décalage de 2h
Consigne température 59 °C et 58°C

Température limite haute 65°C
Limite basse 50°C

Programme horaire 22h - 6h

Absence de programme anti legionnelle";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhbW3UXEXbfCS9b%2F011832_Photo%2003-05-2018%2012.11.54.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhkSoo6-UjfcLDv;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;SXM 32-45 F;Pompe Primaire échangeur;9;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhkSoo6-UjfcLDv%2F011833_Photo%2003-05-2018%2012.19.52.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;2062246;En marche
-LHXpVhmqap8Maj7E7Ph;Grundfos;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;DMI 3,0-10;Pompe doseuse S/station;3;R-1;"Produit utilisé : PEP 04
(produit anti orrosion pour réseau d'eaux chaudes sanitaires)
Dosage actuel : 60 / 90 ml/m3
Nous préconisons de réaliser une analyse physico chimique du réseau d'eau chaude";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhmqap8Maj7E7Ph%2F011834_Photo%2003-05-2018%2012.22.09.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;10/342278;En marche
-LHXpVhob-Hm3V1VOE1B;Wateau;Batiment Test;COMPTAGE;Chaufferie;Qn 10;Compteur eau de ville S/station;4;R-1;"Il est conseillé d'étalonner les compteurs eau (tous les 15 ans à minima)
Nous préconisons de réaliser un relevé et suivi hebdommadaire du compteur d'eau de ville pour améliorer la performance énergétique de l'installation";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhob-Hm3V1VOE1B%2F011835_Photo%2003-05-2018%2012.25.29.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVhpTDaHaYChPs5G;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;SXM 65-25N;Pompe Distribution EC bâtiment G;7;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhpTDaHaYChPs5G%2F011836_Photo%2003-05-2018%2012.29.14.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;2080127;En marche
-LHXpVhsylEV4HRphTNy;Landis & gyr;Batiment Test;ELECTRICITE COURANTS FAIBLES;S/station;SKD 32;Servomoteur Réseau chaud bâtiment G;2;R-1;"Contrôler les positions ""début et fin"" de course de l'équipement";https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhsylEV4HRphTNy%2F011837_Photo%2003-05-2018%2012.32.56.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVht_zEwZ3L0NCX2;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;;Pot à boue S/station;2;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVht_zEwZ3L0NCX2%2F011838_Photo%2003-05-2018%2012.35.40.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;2;;En marche
-LHXpVhuZgzt8F6bIQf6;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;NEC-2-T-25/C;Pompe Recyclage;9;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhuZgzt8F6bIQf6%2F011839_Photo%2003-05-2018%2012.38.16.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;044 / 00104;En marche
-LHXpVhxHwD48X0vbdzV;Salmson;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;NEC 33 T;Pompe Recyclage n°2;11;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhxHwD48X0vbdzV%2F011840_Photo%2003-05-2018%2012.44.36.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;4656466;En marche
-LHXpVhzRWR4y5yfgQqo;Isogard;Batiment Test;INCENDIE ET SECURITE;S/station; Poudre ABC;Extincteur à poudre S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVhzRWR4y5yfgQqo%2F011841_Photo%2003-05-2018%2012.47.58.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVi174vuvwhEHXYb;Isogard;Batiment Test;INCENDIE ET SECURITE;S/station; CO2;Extincteur au CO2 S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVi174vuvwhEHXYb%2F011842_Photo%2003-05-2018%2012.51.18.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
-LHXpVi3A3FHFG-ker3W;;Batiment Test;PLOMBERIE ET ASSAINISSEMENT;S/station;;Distribution hydraulique S/station;4;R-1;;https://storage.googleapis.com/test-technique-beeldi.appspot.com/Equipements%2F-LHXpVi3A3FHFG-ker3W%2F011843_Photo%2003-05-2018%2012.54.57.jpg?GoogleAccessId=firebase-adminsdk-d81iz%40test-technique-beeldi.iam.gserviceaccount.com&Expires=16731702000&Signa;1;;En marche
